model;mac;llid;vendor;cli;interface;inus;ifaceName;id
F660V3;;1;CZTE;"sho gpon onu sta gpon-olt_1/1/5 1
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/5:1       enable       enable       operation    working      
ONU Number: 1/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/5:1

ONU interface:         gpon-onu_1/1/5:1
  Name:                ONU-5:1
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         working
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC1086197
  Password:            
  Device ID:           
  Description:         ONU-5:1
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        8278m
  Online Duration:     386h 34m 08s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-02-20 20:13:45    2019-03-02 11:54:55     DyingGasp 
   2   2019-03-02 12:27:30    2019-03-02 12:44:16     DyingGasp 
   3   2019-03-02 12:59:29    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/5:1

Vendor ID:           ZTEG 
Version:             V3.0 
SN:                  ZTEGc1086197 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   28 
TotalTrafficSchNum:  7 
TrafficMgmtOption:   priority-controlled 
OperState:           enable 
EquipID:             F660V3 
OMCC version:        a0 
Security capability: aes
Model:               F660V3
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/5;N;OLT 1/1/5:1;ZTEGC1086197
F660V2.0;;3;CZTE;"sho gpon onu sta gpon-olt_1/1/1 3
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:3       enable       enable       operation    working      
ONU Number: 1/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:3

ONU interface:         gpon-onu_1/1/1:3
  Name:                ONU-1:3
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         working
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC0074D97
  Password:            
  Device ID:           
  Description:         kuzenkov
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        8218m
  Online Duration:     233h 03m 16s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-03-02 16:07:36    2019-03-03 10:48:41     DyingGasp 
   2   2019-03-03 10:51:08    2019-03-03 14:04:22     DyingGasp 
   3   2019-03-03 14:05:57    2019-03-08 21:48:46     DyingGasp 
   4   2019-03-08 21:50:28    2019-03-08 22:28:53     DyingGasp 
   5   2019-03-08 22:30:21    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:3

Vendor ID:           ZTEG 
Version:             V2.0 
SN:                  ZTEGc0074d97 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   32 
TotalTrafficSchNum:  8 
TrafficMgmtOption:   priority-rate-controlled 
OperState:           enable 
EquipID:             F660V2.0 
OMCC version:        a0 
Security capability: aes
Model:               F660V2.0
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:3;ZTEGC0074D97
F660V2.0;;1;CZTE;"sho gpon onu sta gpon-olt_1/1/1 1
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:1       enable       disable      unknown      DyingGasp    
ONU Number: 0/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:1

ONU interface:         gpon-onu_1/1/1:1
  Name:                ONU-1:1
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         DyingGasp
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC10219E3
  Password:            
  Device ID:           
  Description:         ONU-1:1
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        7898m
  Online Duration:     0h 0m 0s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-03-15 17:57:38    2019-03-15 17:58:01     LOSi     
   2   2019-03-15 17:59:36    2019-03-17 21:11:07     DyingGasp 
   3   0000-00-00 00:00:00    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:1

Vendor ID:           ZTEG 
Version:             V2.0 
SN:                  ZTEGc10219e3 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   32 
TotalTrafficSchNum:  8 
TrafficMgmtOption:   priority-controlled 
OperState:           disable 
EquipID:             F660V2.0 
OMCC version:        a0 
Security capability: aes
Model:               F660V2.0
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:1;ZTEGC10219E3
;;7;CZTE;"sho gpon onu sta gpon-olt_1/1/1 7
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:7       enable       disable      unknown      OffLine      
ONU Number: 0/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:7

ONU interface:         gpon-onu_1/1/1:7
  Name:                ONU-1:7
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         OffLine
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC0454CDB
  Password:            
  Device ID:           
  Description:         samoilova
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        N/A
  Online Duration:     0h 0m 0s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   0000-00-00 00:00:00    0000-00-00 00:00:00              
   2   0000-00-00 00:00:00    0000-00-00 00:00:00              
   3   0000-00-00 00:00:00    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:7

Vendor ID:           N/A 
Version:             N/A 
SN:                  N/A 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   0 
TotalTrafficSchNum:  0 
TrafficMgmtOption:   N/A 
OperState:           N/A 
EquipID:             N/A 
OMCC version:        80 
Security capability: aes
Model:               N/A
Survival time:       N/A
TotalGemPortNum:     0
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:7;ZTEGC0454CDB
F660V3;;6;CZTE;"sho gpon onu sta gpon-olt_1/1/1 6
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:6       enable       enable       operation    working      
ONU Number: 1/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:6

ONU interface:         gpon-onu_1/1/1:6
  Name:                ONU-1:6
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         working
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC108571A
  Password:            
  Device ID:           
  Description:         frolova
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        8294m
  Online Duration:     339h 56m 35s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-02-21 11:20:21    2019-03-04 11:29:35     DyingGasp 
   2   2019-03-04 11:30:49    2019-03-04 11:35:56     DyingGasp 
   3   2019-03-04 11:37:03    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:6

Vendor ID:           ZTEG 
Version:             V3.0 
SN:                  ZTEGc108571a 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   28 
TotalTrafficSchNum:  7 
TrafficMgmtOption:   priority-controlled 
OperState:           enable 
EquipID:             F660V3 
OMCC version:        a0 
Security capability: aes
Model:               F660V3
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:6;ZTEGC108571A
F660V3;;5;CZTE;"sho gpon onu sta gpon-olt_1/1/1 5
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:5       enable       disable      unknown      DyingGasp    
ONU Number: 0/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:5

ONU interface:         gpon-onu_1/1/1:5
  Name:                ONU-1:5
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         DyingGasp
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC107DF5B
  Password:            
  Device ID:           
  Description:         ryabuhin
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        7698m
  Online Duration:     0h 0m 0s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-02-22 21:57:30    2019-02-22 23:18:01     DyingGasp 
   2   2019-02-22 23:19:03    2019-02-24 09:26:47     DyingGasp 
   3   2019-03-02 09:55:30    2019-03-02 10:20:50     DyingGasp 
   4   2019-03-07 18:31:59    2019-03-09 16:11:37     DyingGasp 
   5   2019-03-09 16:12:32    2019-03-10 09:05:01     DyingGasp 
   6   2019-03-15 19:13:09    2019-03-15 22:16:31     DyingGasp 
   7   2019-03-16 06:51:26    2019-03-17 05:11:30     DyingGasp 
   8   2019-03-17 07:59:49    2019-03-17 09:02:37     DyingGasp 
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:5

Vendor ID:           ZTEG 
Version:             V3.0 
SN:                  ZTEGc107df5b 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   28 
TotalTrafficSchNum:  7 
TrafficMgmtOption:   priority-controlled 
OperState:           disable 
EquipID:             F660V3 
OMCC version:        a0 
Security capability: aes
Model:               F660V3
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:5;ZTEGC107DF5B
;;4;CZTE;"sho gpon onu sta gpon-olt_1/1/1 4
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:4       enable       disable      unknown      OffLine      
ONU Number: 0/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:4

ONU interface:         gpon-onu_1/1/1:4
  Name:                ONU-1:4
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         OffLine
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC108B149
  Password:            
  Device ID:           
  Description:         lobova
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        N/A
  Online Duration:     0h 0m 0s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   0000-00-00 00:00:00    0000-00-00 00:00:00              
   2   0000-00-00 00:00:00    0000-00-00 00:00:00              
   3   0000-00-00 00:00:00    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:4

Vendor ID:           N/A 
Version:             N/A 
SN:                  N/A 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   0 
TotalTrafficSchNum:  0 
TrafficMgmtOption:   N/A 
OperState:           N/A 
EquipID:             N/A 
OMCC version:        80 
Security capability: aes
Model:               N/A
Survival time:       N/A
TotalGemPortNum:     0
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:4;ZTEGC108B149
;;1;CZTE;"sho gpon onu sta gpon-olt_1/1/3 1
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/3:1       enable       enable       operation    working      
ONU Number: 1/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/3:1

ONU interface:         gpon-onu_1/1/3:1
  Name:                ONU-3:1
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         working
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC101AFAD
  Password:            
  Device ID:           
  Description:         ONU-3:1
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        4028m
  Online Duration:     355h 31m 13s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-02-20 20:14:08    2019-03-03 19:55:43     LOSi     
   2   2019-03-03 19:57:17    2019-03-03 20:00:47     DyingGasp 
   3   2019-03-03 20:02:26    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/3:1

Vendor ID:           ZTEG 
Version:             V2.20.20P1T6S 
SN:                  ZTEGc101afad 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   32 
TotalTrafficSchNum:  8 
TrafficMgmtOption:   priority-controlled 
OperState:           enable 
EquipID:             N/A 
OMCC version:        a0 
Security capability: aes
Model:               F660
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/3;N;OLT 1/1/3:1;ZTEGC101AFAD
;;9;CZTE;"sho gpon onu sta gpon-olt_1/1/1 9
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:9       enable       disable      unknown      OffLine      
ONU Number: 0/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:9

ONU interface:         gpon-onu_1/1/1:9
  Name:                ONU-1:9
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         OffLine
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC0004761
  Password:            
  Device ID:           
  Description:         kupriyanova
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        N/A
  Online Duration:     0h 0m 0s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   0000-00-00 00:00:00    0000-00-00 00:00:00              
   2   0000-00-00 00:00:00    0000-00-00 00:00:00              
   3   0000-00-00 00:00:00    0000-00-00 00:00:00              
   4   0000-00-00 00:00:00    0000-00-00 00:00:00              
   5   0000-00-00 00:00:00    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:9

Vendor ID:           N/A 
Version:             N/A 
SN:                  N/A 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   0 
TotalTrafficSchNum:  0 
TrafficMgmtOption:   N/A 
OperState:           N/A 
EquipID:             N/A 
OMCC version:        80 
Security capability: aes
Model:               N/A
Survival time:       N/A
TotalGemPortNum:     0
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:9;ZTEGC0004761
F660V2.1;;8;CZTE;"sho gpon onu sta gpon-olt_1/1/1 8
OnuIndex               Admin State  OMCC State   O7 State     Phase State
----------------------------------------------------------------------------
gpon-onu_1/1/1:8       enable       enable       operation    working      
ONU Number: 1/1        
zte320-melihovo.chv#sho gpon onu detail-info gpon-onu_1/1/1:8

ONU interface:         gpon-onu_1/1/1:8
  Name:                ONU-1:8
  Type:                4ETH_wifi
  State:               ready
  Admin state:         enable
  Phase state:         working
  Authentication mode: sn
  SN Bind:             enable with SN check
  Serial number:       ZTEGC0223AEB
  Password:            
  Device ID:           
  Description:         baeva
  Vport mode:          gemport
  DBA Mode:            Hybrid
  ONU Status:          enable
  OMCI BW Profile:     enable
  Line Profile:        N/A
  Service Profile:     N/A             
  Alarm Profile:       N/A
  Performance Profile: N/A
  ONU Distance:        8061m
  Online Duration:     353h 11m 02s
  FEC:                 none
  1PPS+ToD:            disable
------------------------------------------
       Authpass Time          OfflineTime             Cause
   1   2019-02-20 20:13:46    2019-02-22 20:23:34     LOSi     
   2   2019-02-22 20:25:07    2019-02-22 20:38:28     DyingGasp 
   3   2019-02-22 20:40:18    2019-03-03 22:17:50     DyingGasp 
   4   2019-03-03 22:19:38    2019-03-03 22:20:59     DyingGasp 
   5   2019-03-03 22:22:38    0000-00-00 00:00:00              
   6   0000-00-00 00:00:00    0000-00-00 00:00:00              
   7   0000-00-00 00:00:00    0000-00-00 00:00:00              
   8   0000-00-00 00:00:00    0000-00-00 00:00:00              
   9   0000-00-00 00:00:00    0000-00-00 00:00:00              
  10   0000-00-00 00:00:00    0000-00-00 00:00:00              
zte320-melihovo.chv#sho gpon remote-onu equip gpon-onu_1/1/1:8

Vendor ID:           ZTEG 
Version:             V2.1 
SN:                  ZTEGc0223aeb 
Admin status:        unlock 
Battery backup:      false 
Security mode:       aes 
Product code:        0 
TotalPrioQueueNum:   32 
TotalTrafficSchNum:  8 
TrafficMgmtOption:   priority-rate-controlled 
OperState:           enable 
EquipID:             F660V2.1 
OMCC version:        a0 
Security capability: aes
Model:               F660V2.1
Survival time:       N/A
TotalGemPortNum:     256
SysUpTime:           0
Region code:         N/A

";1/1/1;N;OLT 1/1/1:8;ZTEGC0223AEB
